,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,test_accuracy_with_best_hyp,model_name,seed,param_base_estimator
1,0.43579998016357424,0.016833191849729617,0.004000997543334961,0.0006327872462073258,0.2,1,100,,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 100}",0.55859375,0.5859375,0.58203125,0.609375,0.6078431372549019,0.5887561274509804,0.018721054988334634,23,0.696875,Light GBM,0,
2,0.559398889541626,0.03877436826275433,0.006200170516967774,0.0009796963036053947,0.2,1,150,,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 150}",0.5546875,0.578125,0.59765625,0.62109375,0.615686274509804,0.5934497549019608,0.0245507979021049,20,0.696875,Light GBM,0,
3,0.793199110031128,0.09654539890263673,0.0050007343292236325,0.0015489887460051483,0.2,3,50,,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.58203125,0.6328125,0.625,0.640625,0.6470588235294118,0.6255055147058823,0.022964334206438102,15,0.696875,Light GBM,0,
4,1.4877997398376466,0.05530037146857853,0.008199977874755859,0.00039992737543454446,0.2,3,100,,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.63671875,0.62890625,0.65625,0.67578125,0.6627450980392157,0.6520802696078432,0.017122343052340352,7,0.696875,Light GBM,0,
5,2.1185998916625977,0.04492957798733096,0.01180124282836914,0.001325720192198123,0.2,3,150,,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.62890625,0.6484375,0.66015625,0.66796875,0.6627450980392157,0.6536427696078431,0.013924810647815582,6,0.696875,Light GBM,0,
6,1.7391995429992675,0.07060437888324378,0.006200170516967774,0.0003995425519881385,0.2,5,50,,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",0.61328125,0.65234375,0.66015625,0.68359375,0.6745098039215687,0.6567769607843138,0.02431684074736318,2,0.696875,Light GBM,0,
7,3.1293986797332765,0.08493692300729987,0.011800050735473633,0.0007481370932845092,0.2,5,100,,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.62109375,0.671875,0.66796875,0.65234375,0.6666666666666666,0.6559895833333333,0.01865935845590922,4,0.696875,Light GBM,0,
8,4.350399589538574,0.07298237309670243,0.015599584579467774,0.001624015312979953,0.2,5,150,,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150}",0.5859375,0.640625,0.66796875,0.6484375,0.6784313725490196,0.6442800245098039,0.032130870704173045,11,0.696875,Light GBM,0,
9,2.6513994216918944,0.11684256057571629,0.007800245285034179,0.0004000196156779289,0.2,7,50,,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",0.625,0.64453125,0.68359375,0.6640625,0.6666666666666666,0.6567708333333333,0.020148240764463227,3,0.696875,Light GBM,0,
10,4.672199296951294,0.07088460591611721,0.012799596786499024,0.0007489909792554642,0.2,7,100,,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.62109375,0.62109375,0.6640625,0.65625,0.6862745098039216,0.6497549019607843,0.025390938071074357,8,0.696875,Light GBM,0,
